nome;type;mean;standard deviation;meadian;percentile 25;percentile 75
 ;EDA;0.9288596331105274;0.26068148697852583;0.7599599335921419;0.6642035825655008;1.1558197088794484
ID8_N;ECG;-0.009114886204785606;0.1836286374068171;-0.045181082686994514;-0.07965033532252712;0.027421607284038182
 ;EMGZ;1.220218837876406e-07;0.030565329640068074;0.0001590774836846584;-0.01487474795874194;0.014835717987487765
 ;EMGMF;8.42370972213498e-07;0.009539078082106836;2.4030516720805004e-05;-0.005886266998371273;0.005856783148878027
 ;EDA;0.17051631924833185;0.041833428598429485;0.19166565585209544;0.1289145715847625;0.21094048817437355
ID8_F;ECG;-0.008326231242486748;0.16883468805054894;-0.0399855355736112;-0.07939786001095128;0.04025554985315162
 ;EMGZ;1.2365821850455928e-06;0.01947324163496288;0.00014453810671669239;-0.012748595256490147;0.01269281529836894
 ;EMGMF;-2.8349874718843205e-08;0.008843058834661962;0.00013237604950912577;-0.005747189403476056;0.005775216257164505
 ;EDA;0.5060173154549635;0.37357912088562306;0.15827987329155824;0.14026328998723012;0.8589404518065231
ID10_N;ECG;-0.0073166064622677395;0.4163360331406578;-0.04446872973276751;-0.10266045177927496;0.035557533807237834
 ;EMGZ;-3.5465023960351265e-07;0.08006775638720763;-6.300003324472719e-05;-0.011010593490233126;0.010670938739076142
 ;EMGMF;1.8660160558921568e-06;0.04968979101208835;-3.1837508947564486e-06;-0.03444933566958353;0.03453010275863435
 ;EDA;1.0903665250117358;0.18584251918729325;1.179046606808578;0.9002833929515383;1.2535255220361867
ID10_H;ECG;-0.00713430437866682;0.2402323691933596;-0.05273288082407619;-0.1013874393579951;0.0363228472439673
 ;EMGZ;1.6542239423388015e-07;0.05334433992862554;-0.00018918741685248445;-0.012159608898045756;0.011619909485506083
 ;EMGMF;1.7554173439801886e-07;0.026306203679160103;-0.0003157317666474533;-0.010305035610985051;0.009797236206380427
 ;EDA;1.0583760421458575;0.27612635454931367;1.068544656975976;0.8762224889388393;1.3130286347420712
ID10_F;ECG;-0.00881252560173002;0.22474758790593719;-0.05096083616501405;-0.09633786468536135;0.02637121586592593
 ;EMGZ;8.74928201849023e-07;0.030588019811410544;1.8667200226655124e-07;-0.006948853693640364;0.006711863989444084
 ;EMGMF;2.3623623442865068e-07;0.025072766334165653;-0.00026952859672308956;-0.011767037702834519;0.01136978329434257
 ;EDA;0.7725861736884596;0.19608932391603165;0.8245950032082954;0.6864485685221772;0.8784852345341314
ID11_H;ECG;-0.010470459997752136;0.3299817604395998;-0.052837147287435327;-0.1400035875330776;0.15256481175534164
 ;EMGZ;3.0380087667734065e-07;0.018328425122502448;0.0001058962303204711;-0.007011188262709677;0.007046450524666428
 ;EMGMF;-2.887705781033005e-07;0.01653110952359281;8.360500723419897e-05;-0.012498731606347397;0.012518932674169987
 ;EDA;0.5028897535594993;0.06700993359911468;0.5000753474991027;0.460247446404317;0.5395218565570666
ID11_F;ECG;-0.011718041535480075;0.32838449196000996;-0.039342260991099935;-0.13869448824536101;0.1587507111642131
 ;EMGZ;-5.933421654319124e-06;0.15295638221521826;0.00019818895119472907;-0.10852356469028379;0.10846990952654753
 ;EMGMF;1.308865033032912e-06;0.027661933494071388;5.971433104877107e-05;-0.01626059926882783;0.0161447294689223
 ;EDA;0.9858770177637401;0.2985118395456414;0.8557401451711071;0.6859613255933912;1.2619416481022268
ID11_N;ECG;-0.01849191865212851;0.34305729123782686;-0.0503379308575976;-0.17811482596660844;0.1767449114332552
 ;EMGZ;1.952910751810047e-06;0.06445547835849244;0.00029642537842964993;-0.03511297690681051;0.03507202609243749
 ;EMGMF;-2.5746956337221344e-08;0.00948581500840541;5.263355221808111e-05;-0.004935738646546768;0.004970445847279683
 ;EDA;1.0405493382613145;0.1471726479543599;1.0246083323565216;0.9645115435565575;1.0792487253870497
ID12_F;ECG;-0.006091692956779065;0.26138364313984813;-0.08992332377216233;-0.16950298163156116;0.1080709314190534
 ;EMGZ;-7.975142057212455e-07;0.03157642171748503;0.00013227215280204544;-0.022584346690769128;0.02235768087896576
 ;EMGMF;-1.2998800880880832e-06;0.03507006097579651;-0.000995691629446306;-0.016210608810734106;0.014804145957916643
 ;EDA;0.9120507992090577;0.17245755113088754;0.946179196497601;0.7581116861409077;1.0265916095531176
ID12_N;ECG;-0.008270210771659195;0.27771157451685774;-0.09262134761318366;-0.17797497336297383;0.10514730324014086
 ;EMGZ;-1.4051032484707773e-06;0.03139560754491039;5.40426546409541e-05;-0.02070356171970473;0.020670938244325122
 ;EMGMF;1.589733865971201e-06;0.027234370681060178;-4.063391629479003e-05;-0.01938987206114645;0.019315381889129284
 ;EDA;0.14615049256018864;0.049576947969068995;0.12142186309081289;0.09599619583948715;0.1921890033492893
ID12_H;ECG;-0.009048144351950418;0.31799497484413125;-0.08528234585832159;-0.1585516571614361;0.08733300302285239
 ;EMGZ;-1.9344672514539167e-06;0.09594991469601838;-2.362544309294015e-05;-0.04491438379248791;0.04463579145761984
 ;EMGMF;7.448893098549845e-07;0.026128745886380443;-0.00023667858080013838;-0.012656247659712997;0.012447022908161002
 ;EDA;0.3691070614201411;0.11339670661866365;0.39926634582541776;0.2626686662944625;0.45975375729103185
ID16_F;ECG;-0.007624538146635629;0.2861709315531046;-0.06560081699980558;-0.13304415430801775;0.014477572174785356
 ;EMGZ;8.246317464632671e-07;0.03340245984283068;0.00010873681141238076;-0.011922250809198906;0.011914805854835434
 ;EMGMF;-2.781720688653573e-06;0.06041444703100793;7.57356300670857e-05;-0.024731420975967554;0.0248700091763487
 ;EDA;0.3766280884685739;0.26330699249066714;0.12100665021226197;0.11851071662861397;0.6286456789795621
ID16_H;ECG;-0.011934437070254812;0.41929905270680784;-0.05997329354662684;-0.14927655196574136;0.05901738947886545
 ;EMGZ;9.981204238642793e-07;0.07348634508270595;0.00016645156536288517;-0.02058445095572835;0.020411326547072034
 ;EMGMF;-1.3693370775143138e-06;0.029441472850061903;5.402906194369164e-05;-0.013384661477861985;0.0132449329611842
 ;EDA;0.4227454235851441;0.14301070847614844;0.3340209366510609;0.32421260937839963;0.5994423350691506
ID16_N;ECG;-0.005225698042648741;0.37971146802946765;-0.06425171527886053;-0.16968539722657414;0.05330702366346321
 ;EMGZ;5.136623149199726e-07;0.030384362781423837;7.610419262715773e-05;-0.00906596470873618;0.00903400176276127
 ;EMGMF;-2.1465334416086353e-07;0.015982922859578145;-0.0003279053496238894;-0.00703750430134905;0.006457008648956842
 ;EDA;0.14830919572032997;0.014029869602453197;0.1575812015406234;0.13399695708484036;0.16220400096833015
ID17_N;ECG;-0.004255693079860062;0.27289452275533044;-0.05595794494845787;-0.12982173748259054;0.10564296548559561
 ;EMGZ;2.4379656633600253e-06;0.06505656933206135;7.639874189878983e-05;-0.005007948007103927;0.005070108722548504
 ;EMGMF;7.435341430982445e-07;0.023746441551970518;-7.065026090476677e-06;-0.01581073790938131;0.01587362935199685
 ;EDA;1.2073370127085041;0.34163345470999074;1.3903599658146037;0.8611809115186553;1.5305407713355397
ID17_H;ECG;-0.00813293341604537;0.31832822122496296;-0.07481046616084105;-0.16883203438734873;0.11444613844766133
 ;EMGZ;-2.2063099220405866e-06;0.09203547282878524;0.0002582696242930823;-0.048647958292087144;0.0489677258071337
 ;EMGMF;1.2689765008170043e-07;0.011418834603081969;-7.10731557546215e-07;-0.00616445595932073;0.0061883464666342035
 ;EDA;0.7108278792703763;0.1396203325338486;0.6992278047398199;0.5845936354745045;0.8242390843627325
ID17_F;ECG;-0.00991235196689596;0.5929745464257417;-0.07888350975966055;-0.14515410589938213;0.09770316787806275
 ;EMGZ;-1.1838396522798276e-06;0.014959383961356135;7.212314921580925e-05;-0.005841559539648536;0.0058487831346436
 ;EMGMF;1.4026421347413124e-07;0.011083396096240716;-8.50475687518633e-06;-0.004132987748695629;0.004112089707697086
 ;EDA;0.8344081952726756;0.09703634972242496;0.8637568321127553;0.7371592833655103;0.9140135648245775
ID18_N;ECG;-0.014492428591467132;0.6089830509372389;-0.08285177648371139;-0.14407775799226222;0.021065635885056236
 ;EMGZ;2.0615345158504707e-06;0.04795550892031252;6.295336802393916e-05;-0.012183405253766785;0.012104859921154803
 ;EMGMF;6.447883849557987e-07;0.027995532772624645;3.050983448610648e-05;-0.010655081226818472;0.01060940325368441
 ;EDA;1.8160696396359328;0.08421512051057857;1.8394443848453252;1.729630881955222;1.8877570823063718
ID18_F;ECG;-0.006464856788285782;0.5522729166914766;-0.07436834220452182;-0.14813245341137105;0.05210514873616859
 ;EMGZ;1.7375086104526948e-06;0.04712449327306383;0.00020257711558053452;-0.02523277637323279;0.02536472358847603
 ;EMGMF;4.198915192966717e-07;0.012618750060334336;0.00030760519323330237;-0.006413586300736319;0.006620538058038325
 ;EDA;1.7861825071704154;0.29427302689486584;1.6007749762304169;1.4981499911255114;2.0510226264903717
ID18_H;ECG;-0.006904248349128101;0.3725441860198546;-0.08652151255428975;-0.14683364010963998;0.0017785708371649924
 ;EMGZ;1.911719034462663e-06;0.040306534803761083;0.00015243629534182623;-0.023025819078799095;0.02316358947623721
 ;EMGMF;-1.687353247953403e-07;0.026174707016248192;-0.00018784264324208093;-0.003983496689695521;0.003418945103667486
 ;EDA;0.9235881058099866;0.09197023309220122;0.896477448349982;0.847642259401511;0.9845153266619562
ID20_N;ECG;-0.007407006545746609;0.446711692738862;-0.05897908695895217;-0.15433416847550666;0.10171248398567961
 ;EMGZ;8.563455106290433e-07;0.05780736830237698;-7.324541791393381e-05;-0.013020206717299776;0.012933757232956426
 ;EMGMF;-2.2613775974626685e-06;0.035949711668042277;-3.9610437661004696e-06;-0.009539334690485943;0.00953408305129859
 ;EDA;1.0207314398273464;0.3535547685724128;0.7393901892935355;0.6892777974764237;1.3181531622262532
ID20_F;ECG;-0.00031250954767799994;0.5733710751766058;-0.025896624655559773;-0.17785269124076825;0.1633672617584162
 ;EMGZ;4.385866810454759e-07;0.03083832541900812;9.707697826636546e-05;-0.00737358357660716;0.0074117467104743455
 ;EMGMF;2.471751350715886e-07;0.016605649501469727;1.4397954353709318e-05;-0.004033461301905403;0.0040730988473275396
 ;EDA;0.9557179057145619;0.3641606112092718;0.7484033150788768;0.6330119706329671;1.3296933443183163
ID20_H;ECG;-0.010467821186178363;0.4443199079887179;-0.07672816705454236;-0.15113560506713752;0.07759274077881072
 ;EMGZ;8.808259518638467e-08;0.015928262716985008;4.496022851309864e-05;-0.005768641736491353;0.005734348710348794
 ;EMGMF;-1.7293052506677703e-07;0.020942554069387668;-0.0002369949023442035;-0.006129259922241361;0.005743940298911412
 ;EDA;0.5486301658991979;0.07344283819570312;0.5477749633905244;0.49556466552492257;0.6000039930270804
ID23_F;ECG;-0.0072698582132330195;0.37108501648857983;-0.06578848255769637;-0.15074768207152986;0.052740563602441816
 ;EMGZ;3.097088529205579e-07;0.05946102014048051;3.514711626145155e-05;-0.007957205716503848;0.007880368181889499
 ;EMGMF;-3.1298718306897236e-07;0.012456794758025072;-6.526584823018992e-05;-0.0063240402152358;0.006103767693480268
 ;EDA;0.8171348080836227;0.13706443310479055;0.7796126568299626;0.6800796490161952;0.9487478828150941
ID23_N;ECG;-0.012494178490434825;0.39643987874394965;-0.10133776294041534;-0.170310151950231;0.04521613599427746
 ;EMGZ;-3.91367586188013e-07;0.04857119408766464;0.00010098797577827689;-0.009928712207293109;0.009863075236911958
 ;EMGMF;8.114726171093717e-07;0.026376055844826708;6.183880664178878e-05;-0.01265717137466674;0.012694645410399172
 ;EDA;1.0806114428434266;0.05300481599435253;1.0914804508193443;1.0636145493855127;1.1101272612392328
ID23_H;ECG;-0.010776175464211049;0.4131802287987619;-0.12976551163831745;-0.1922427519803354;0.03470135737657746
 ;EMGZ;5.491447370508628e-07;0.06214210994766677;7.102458898386913e-05;-0.022095672267750503;0.022064585024428943
 ;EMGMF;2.763980585254458e-07;0.016324172913000985;2.256693510834426e-05;-0.006598994446612355;0.006610932717596888
 ;EDA;0.7095159246764975;0.11287236751872966;0.7176307425138058;0.6044593702473711;0.8094687289876976
ID25_F;ECG;-0.005251145310117337;0.3180788801334536;-0.0858323523503292;-0.15879776649964583;0.06726332242057806
 ;EMGZ;1.138315566718987e-07;0.04238311278350669;0.00010513670014396714;-0.009816058822442936;0.009902629845993889
 ;EMGMF;8.455338540047844e-07;0.0365616544015231;4.8478813392094366e-05;-0.02222602770373881;0.022192383242149616
 ;EDA;0.9627898713846272;0.09156659991299954;0.9437220696989643;0.8990680114117047;1.0042238608583038
ID25_N;ECG;-0.003949710846198785;0.3458630317704173;-0.09988072253439986;-0.17514586616556968;0.062011786532902666
 ;EMGZ;1.1286267392101796e-06;0.041904885726288615;3.05667092687068e-05;-0.005059234851843994;0.00502306157306653
 ;EMGMF;-1.4921314051009375e-06;0.03458288345544205;-2.4925817081441646e-05;-0.023694809844490725;0.02354056653573237
 ;EDA;1.1739523605171025;0.25444382836909696;1.312331853642517;0.9171437332533922;1.4111711716081998
ID25_H;ECG;-0.009506439888770701;0.34828624558994076;-0.10241536104246156;-0.1704069199953232;0.047863412737512066
 ;EMGZ;-1.267910114961458e-05;0.36952224866524985;5.297525019593973e-05;-0.04723160505718601;0.04746165887369372
 ;EMGMF;9.01510927046362e-07;0.03243026896890629;7.895764108863806e-06;-0.025616291654246195;0.02558660355893766
 ;EDA;1.0310694284248503;0.18580955659145587;0.9267864928163665;0.8856876860725895;1.1821260503909825
ID26_F;ECG;0.004383049556312736;0.31180904944099563;-0.008518810271039243;-0.08257827191169274;0.10841656086820682
 ;EMGZ;-8.476625763643534e-08;0.14075882602751114;3.803699740626801e-05;-0.004406192465449175;0.004386745779339245
 ;EMGMF;6.366826235765933e-07;0.029101431461724833;-0.0002517439831512761;-0.012466319769195185;0.011870304662037017
 ;EDA;0.7724741480925124;0.06991751572151385;0.7825668620126537;0.7207700240968836;0.7994528378974178
ID26_N;ECG;-0.008222279639296066;0.4365577068789525;0.006299986398207651;-0.06444214174565012;0.08457054969099131
 ;EMGZ;1.1605059085011453e-06;0.06745570803204115;1.318067628701576e-05;-0.02132487401351595;0.021218688391447162
 ;EMGMF;1.215063568831125e-06;0.03105632798546443;8.47783019114097e-05;-0.02185479737437751;0.022125439859605613
 ;EDA;1.1702407491532556;0.31927457896559575;1.373371581404582;0.8441930131289396;1.47380899859946
ID26_H;ECG;-0.008067079260744089;0.22349525948095758;-0.013824050932127524;-0.06561126095941815;0.06614606810409687
 ;EMGZ;-2.5185349649559295e-06;0.10434058976178348;4.418954709478227e-05;-0.02117023208032504;0.02116110215497992
 ;EMGMF;-1.8793694719059704e-07;0.039512166278310876;-0.0005018013430492236;-0.025631512300220257;0.02477578895887301
 ;EDA;0.758405246206645;0.16091590230112826;0.763738637860015;0.5979089150824248;0.9253523862153161
ID27_H;ECG;-0.00037286181373474847;0.3842709865436482;-0.08725184125713938;-0.1537807331500649;0.048766335652362686
 ;EMGZ;-7.010229118711624e-07;0.03727496203830574;0.000136061133988232;-0.005105930399607712;0.005230746197299071
 ;EMGMF;-9.241762564537296e-07;0.03630089157935319;-0.0010224639440028754;-0.019847219529345744;0.01827374197954134
 ;EDA;1.1825842334131116;0.20258444093474282;1.276043004021787;1.008612307373613;1.3546599660251524
ID27_N;ECG;0.003267748918383484;0.4103054658006985;-0.08272414046802395;-0.17734066233177787;0.07628424807999004
 ;EMGZ;-2.6492556295749834e-08;0.03985942458551076;-7.420909272675769e-05;-0.007207180441692808;0.006957542227657259
 ;EMGMF;2.3030799814852995e-07;0.021438853030993996;0.0001239811292438836;-0.01045253046385716;0.010280885550022247
 ;EDA;1.0744362467591821;0.0888608512055362;1.059025093215277;1.0135328531146677;1.1308098489136076
ID27_F;ECG;-0.0009791123875914035;0.3915976068159968;-0.08641615659803065;-0.15072912566179186;0.034853622376229555
 ;EMGZ;1.3666959934241608e-06;0.06564818232160871;-0.0001332843358826676;-0.006169605106279558;0.005591850091244249
 ;EMGMF;-1.113742871214236e-08;0.024072217209229446;1.8432131966919247e-05;-0.0099497555984455;0.009691380490771777
 ;EDA;0.6494332234633162;0.1433380027631136;0.6048108061520623;0.504008124027857;0.7777074231423975
ID31_N;ECG;-0.01516895305274122;0.39627057445887065;-0.08971586591069994;-0.15714886972636338;0.04166790276086585
 ;EMGZ;-1.1174131039257374e-06;0.05635868059529926;9.612218401194687e-05;-0.03579891920514377;0.035802289489469036
 ;EMGMF;-4.4913985665260005e-07;0.025176681813931782;-6.070564472727787e-05;-0.006455208305398351;0.0062559937317054936
 ;EDA;0.7154468942745432;0.3109483897437894;0.9041961411177393;0.4041509497234933;1.0263251174045118
ID31_F;ECG;0.012667482944800298;0.7757273837220411;-0.07298184549988325;-0.16282204586164892;0.06744969654033718
 ;EMGZ;5.4592642211521415e-08;0.010348977349746902;7.050005667832046e-05;-0.008175708418013312;0.008121627274363786
 ;EMGMF;-1.3897506258618454e-06;0.030922325133628407;0.0002021616365647078;-0.024152347001321847;0.02476042216661013
 ;EDA;1.4826445946801725;0.13233619052682286;1.478477709989379;1.360293652326907;1.5828513955984862
ID31_H;ECG;-0.006782413665587541;0.5827807790459387;-0.1132684092922336;-0.20136897436212156;0.07694066784900754
 ;EMGZ;8.173143535720025e-06;0.31228900130189857;6.61199479487333e-06;-0.02756073141853101;0.027622336985056013
 ;EMGMF;1.3849421887789482e-07;0.028836544948010637;-0.0005287358761087695;-0.010485808022816175;0.009304997702007024
 ;EDA;1.158821007102836;0.2136030597992732;1.3044493029440674;0.9457375600758333;1.3475417752516845
ID32_H;ECG;-0.002956315448334441;0.6370760906475572;-0.13150795858209793;-0.23155223880039272;0.011413518940388293
 ;EMGZ;-2.3975243769060692e-08;0.026931815969212278;0.0005016862195570445;-0.00845563074445565;0.009082775349254352
 ;EMGMF;-4.0889668462452433e-07;0.02951862640157035;-0.00012473756469276063;-0.011876533582405344;0.011450308130755552
 ;EDA;1.3430795594840788;0.2533969169873205;1.5087680347275882;1.0719236077632488;1.5932535291024255
ID32_F;ECG;-0.0011072348286143353;0.6361007780860531;-0.14037765945376662;-0.2513162162497943;0.016691362804912825
 ;EMGZ;4.1876510126552646e-07;0.024555394645693954;3.83069232607234e-05;-0.005966452002645617;0.005847990252921929
 ;EMGMF;5.872383871359068e-08;0.024043361645720216;5.691054444831442e-05;-0.008318840644688356;0.008253948339765366
